cod|per|tipo|disc|creds|ch|reqs
1411331|-|opE|INTERCONEXAO DE REDES DE COMPUTADORES|4|60|1411190
1411209|-|opE|INTERFACE HOMEM-MAQUINA|4|60|
1305218|6|obr|METODOLOGIA CIENTIFICA|4|60|
1411188|-|opE|METODOS E SOFTWARE NUMERICOS|4|60|
1411332|-|opE|METODOS FORMAIS|4|60|
1411213|-|opE|OTIMIZACAO|4|60|
1411333|-|opE|PRATICA DE ENSINO DE COMPUTAÇAO I|2|30|
1411334|-|opE|PRATICA DE ENSINO DE COMPUTAÇAO II|2|30|1411333
1411335|-|opE|PRINCIPIOS DE DESENVOLVIMENTO WEB|4|60|1411168
1411315|6|obr|PROGRAMAÇAO CONCORRENTE|4|60|1411192
1411336|-|opE|PROGRAMACAO EM BANCO DE DADOS|4|60|1411193
1411217|-|opE|PROJETO DE REDES DE COMPUTADORES|4|60|1411190
1411337|-|opE|PROVIS. E OPER. DE INFRAESTRUTURAS|4|60|1411192
1411338|-|opE|RECONHEC. DE PADROES E REDES NEURAIS|4|60|1114222:1411341 1411187
1411339|-|opE|RECUP. DE INFORMAÇAO E BUSCA NA WEB|4|60|
1411340|-|opE|SEGURANGA DE SISTEMAS|4|60|1411192 1411190
1411342|-|opE|SISTEMAS DE APOIO A DECISAO|4|60|
1411221|-|opE|SISTEMAS DE INFORMAGOES GEOGRAFICAS|4|60|
1411222|-|opE|SISTEMAS DISTRIBUIDOS|4|60|
1411343|-|opE|VERIFICACAO E VALIDAÇAO DE SOFTWARE|4|60|1411314
1411344|-|opE|VISAO COMPUTACIONAL|4|60|
1411187|7|obr|ANALISE E TECNICA DE ALGORITMOS|4|60|1411305 1411306
1411189|7|obr|COMPILADORES|4|60|1411309:1411169
1411317|8|cmp|PROJETO DE TRAB. DE CONCLUSAO DE CURSO|4|60|
1411185|8|obr|PROJETO EM COMPUTAÇAO I|4|60|1411314
1411348|9|obr|PROJETO EM COMPUTAÇAO II|4|60|1411185
1411318|9|cmp|TRABALHO DE CONCLUSAO DE CURSO|4|60|1411317
1301123|-|opG|ADMINISTRACAO E EMPREENDEDORISMO|4|60|
1109035|-|opG|ALGEBRA VETORIAL E GEOMETRIA ANALITICA|4|60|
1411319|9|cmp|ATIVIDADES COMPLEMENTARES FLEXIVEIS|22|330|
1109128|-|opG|CALCULO DIFERENCIAL E INTEGRAL III|4|60|1109053:1109131 1411312
1305219|-|opG|DIREITO E CIDADANIA|4|60|
1303021|-|opG|ECONOMIA|4|60|
1108030|-|opG|FISICA GERAL I|4|60|
1108081|-|opG|FISICA GERAL II|4|60|1108030 1109103:1109126 1411312
1108100|-|opG|FISICA GERAL III|4|60|1108081 1109053:1109131
1108105|-|opG|FISICA GERAL IV|4|60|1108100 1109128
1411345|-|opG|INFORMATICA E SOCIEDADE|4|60|
1307150|-|opG|INGLES|4|60|
1307332|-|opG|LIBRAS|4|60|
1307169|-|opG|LINGUA PORTUGUESA|4|60|
1411354|-|opE|TECC I(APLIC DE PARAD DE LING DE PROGRAM|2|30|1411172 1411179 1411171
1411353|-|opE|TECC I(APLICACOES DE TEORIA DOS GRAFOS)|2|30|1411167 1411180
1411351|-|opE|TECC(CIENCIA DE DADOS DESCRITIVA)|4|60|1114129
1411356|-|opE|TECC(CIENCIA DE DADOS PREDITIVA)|4|60|1114222
1411350|-|opE|TECC(GESTAO DE PROJETOS)|4|60|1411314
1411357|-|opE|TECC(GOVERNANCA DA INTERNET)|4|60|
1411362|-|opE|TECC(HABILIDADES SOCIOEMOCIONAIS 1)|2|30|
1411363|-|opE|TECC(HABILIDADES SOCIOEMOCIONAIS II)|2|30|
1411359|-|opE|TECC(JOGOS DIGITAIS)|4|60|
1411352|-|opE|TECC(PERCEPCAO COMPUTACIONAL|4|60|1109049 1109053:1109131 1114129
1411358|-|opE|TECC(PROCESSAMENTO DE LINGUAGEM NATURAL)|4|60|
1411360|-|opE|TECC(PROGRAMAÇAO PARA WEB)|4|60|1411168 1411181
1411349|-|opE|TECC(PROJETO DE SISTEMAS OPERACIONAIS)|4|60|1411310 1411182
1411361|-|opE|TECC(TRANSFORMAÇAO DIGITAL)|4|60|
1411355|-|opE|TECC(VISUALIZAÇAO DE DADOS)|4|60|1114129
1411176|-|opE|GERÊNCIA DA INFORMAÇÃO|4|60|
1411302|-|opE|TECC(PROGRAMACAO FUNCIONAL)|4|60|1411309
0000001|1|opG|Optativa Geral 1|4|60|
0000002|2|opG|Optativa Geral 2|4|60|
0000003|6|opG|Optativa Geral 3|4|60|
0000004|6|opG|Optativa Geral 4|4|60|
0000005|6|opE|Optativa Específica 1|4|60|
0000006|7|opE|Optativa Específica 2|4|60|
0000007|7|opE|Optativa Específica 3|4|60|
0000008|7|opE|Optativa Específica 4|4|60|
0000009|8|opE|Optativa Específica 5|4|60|
0000010|8|opE|Optativa Específica 6|4|60|
0000011|8|opE|Optativa Específica 7|4|60|
0000012|9|opE|Optativa Específica 8|4|60|
0000013|9|opE|Optativa Específica 9|4|60|
0000014|9|opE|Optativa Específica 10|4|60|
